date,final.output.concentrate_ag,final.output.concentrate_pb,final.output.concentrate_sol,final.output.concentrate_au,final.output.recovery,final.output.tail_ag,final.output.tail_pb,final.output.tail_sol,final.output.tail_au,primary_cleaner.input.sulfate,primary_cleaner.input.depressant,primary_cleaner.input.feed_size,primary_cleaner.input.xanthate,primary_cleaner.output.concentrate_ag,primary_cleaner.output.concentrate_pb,primary_cleaner.output.concentrate_sol,primary_cleaner.output.concentrate_au,primary_cleaner.output.tail_ag,primary_cleaner.output.tail_pb,primary_cleaner.output.tail_sol,primary_cleaner.output.tail_au,primary_cleaner.state.floatbank8_a_air,primary_cleaner.state.floatbank8_a_level,primary_cleaner.state.floatbank8_b_air,primary_cleaner.state.floatbank8_b_level,primary_cleaner.state.floatbank8_c_air,primary_cleaner.state.floatbank8_c_level,primary_cleaner.state.floatbank8_d_air,primary_cleaner.state.floatbank8_d_level,rougher.calculation.sulfate_to_au_concentrate,rougher.calculation.floatbank10_sulfate_to_au_feed,rougher.calculation.floatbank11_sulfate_to_au_feed,rougher.calculation.au_pb_ratio,rougher.input.feed_ag,rougher.input.feed_pb,rougher.input.feed_rate,rougher.input.feed_size,rougher.input.feed_sol,rougher.input.feed_au,rougher.input.floatbank10_sulfate,rougher.input.floatbank10_xanthate,rougher.input.floatbank11_sulfate,rougher.input.floatbank11_xanthate,rougher.output.concentrate_ag,rougher.output.concentrate_pb,rougher.output.concentrate_sol,rougher.output.concentrate_au,rougher.output.recovery,rougher.output.tail_ag,rougher.output.tail_pb,rougher.output.tail_sol,rougher.output.tail_au,rougher.state.floatbank10_a_air,rougher.state.floatbank10_a_level,rougher.state.floatbank10_b_air,rougher.state.floatbank10_b_level,rougher.state.floatbank10_c_air,rougher.state.floatbank10_c_level,rougher.state.floatbank10_d_air,rougher.state.floatbank10_d_level,rougher.state.floatbank10_e_air,rougher.state.floatbank10_e_level,rougher.state.floatbank10_f_air,rougher.state.floatbank10_f_level,secondary_cleaner.output.tail_ag,secondary_cleaner.output.tail_pb,secondary_cleaner.output.tail_sol,secondary_cleaner.output.tail_au,secondary_cleaner.state.floatbank2_a_air,secondary_cleaner.state.floatbank2_a_level,secondary_cleaner.state.floatbank2_b_air,secondary_cleaner.state.floatbank2_b_level,secondary_cleaner.state.floatbank3_a_air,secondary_cleaner.state.floatbank3_a_level,secondary_cleaner.state.floatbank3_b_air,secondary_cleaner.state.floatbank3_b_level,secondary_cleaner.state.floatbank4_a_air,secondary_cleaner.state.floatbank4_a_level,secondary_cleaner.state.floatbank4_b_air,secondary_cleaner.state.floatbank4_b_level,secondary_cleaner.state.floatbank5_a_air,secondary_cleaner.state.floatbank5_a_level,secondary_cleaner.state.floatbank5_b_air,secondary_cleaner.state.floatbank5_b_level,secondary_cleaner.state.floatbank6_a_air,secondary_cleaner.state.floatbank6_a_level
1/15/2016 0:00,6.055402756,9.889648438,5.507324219,42.19202042,70.54121591,10.41196156,0.895446777,16.90429688,2.143149376,127.0920029,10.12829494,7.25,0.988759041,8.547551155,10.38964844,19.52929688,34.17442703,14.9365263,2.534912109,7.476074219,2.10667944,1549.775757,-498.9121399,1551.434204,-516.4034424,1549.873901,-498.6665955,1554.367432,-493.4281311,41885.70703,3481.779053,3520.337158,2.838686775,6.100378036,2.284912109,523.5463257,55.48659897,36.80859375,6.486149788,11.98661613,6.007989883,11.83674335,6.005818367,11.50077057,7.101074219,28.02929688,19.79380798,87.10776293,5.008018017,0.508728027,19.15429688,1.170243979,999.7069092,-404.0669861,1603.011353,-434.7150269,1602.375,-442.2044678,1598.937256,-451.2941284,1404.472046,-455.4629822,1416.35498,-451.9396362,14.50018406,4.694824219,8.764648438,2.606184959,25.85310936,-498.5264893,23.89365959,-501.4062805,23.96179771,-495.2628174,21.94040871,-499.3409729,14.01683521,-502.4880066,12.09993076,-504.7159424,9.92563343,-498.3102112,8.079666138,-500.4709778,14.15134144,-605.84198
1/15/2016 1:00,6.02936857,9.968944097,5.257781484,42.70162925,69.26619763,10.46267568,0.927452134,16.6345141,2.22493035,125.6292318,10.29625065,7.25,1.002663091,8.558743187,10.49706908,19.36914674,34.11852552,16.25051119,3.049646119,6.733907266,2.353016857,1576.166671,-500.904965,1575.950626,-499.8658895,1575.994189,-499.3151074,1574.479259,-498.9316652,42050.86181,3498.370979,3489.981857,2.858998008,6.161113483,2.266032635,525.2905809,57.27866586,35.75338487,6.478582788,11.97119324,6.005765913,11.99616279,6.012593668,11.61586517,7.278806701,28.06706333,20.05097514,86.84326051,4.955377907,0.536689469,18.96523438,1.184827464,1000.286398,-400.0651956,1600.754587,-449.9534345,1600.47958,-449.8306463,1600.527589,-449.9536492,1399.227084,-450.8698476,1399.719514,-450.1190013,14.26547351,4.59254704,9.001494288,2.488248306,25.88053867,-499.9896564,23.88952979,-500.3724284,23.97055025,-500.0854733,22.08571374,-499.4468971,13.99228103,-505.5032622,11.95053085,-501.3315294,10.03924535,-500.1699826,7.984757202,-500.5821677,13.99835264,-599.7871842
1/15/2016 2:00,6.055926069,10.21399457,5.383758769,42.65750061,68.11644507,10.50704594,0.953715727,16.20884917,2.257889118,123.8198079,11.31627982,7.25,0.991265469,8.60350485,10.35449431,19.16757892,33.96946437,16.49182301,3.124663812,6.471768479,2.416800331,1601.556163,-499.9977907,1600.386685,-500.6077624,1602.003542,-500.8700693,1599.541515,-499.8274441,42018.10118,3495.34891,3502.359819,2.945989199,6.116454902,2.159621628,530.0266104,57.51064892,35.97163007,6.362221989,11.92060278,6.197376939,11.9203052,6.204633181,11.6957533,7.216832587,27.45403684,19.73717002,86.84230826,4.843459882,0.546415625,18.80853299,1.162561892,999.7195652,-400.0740284,1599.33733,-450.0085302,1599.672797,-449.9544914,1599.849325,-449.9541855,1399.180945,-449.9375882,1400.316682,-450.5271468,14.11566201,4.624775426,8.842895763,2.458186748,26.00524491,-499.929616,23.88665666,-499.9519276,23.91353473,-499.4423428,23.95771654,-499.901982,14.01501546,-502.5209008,11.91278306,-501.1333831,10.07091323,-500.1291346,8.013876876,-500.5175722,14.02866312,-601.4273632
1/15/2016 3:00,6.047976997,9.977018629,4.858633847,42.68981947,68.34754259,10.42276186,0.883762839,16.53283474,2.146849404,122.2701878,11.32214002,7.25,0.996738704,7.221878541,8.496563209,15.97853819,28.26074284,16.02435944,2.96036174,6.843791441,2.262050661,1599.96872,-500.9517782,1600.659236,-499.677094,1600.304144,-500.7279975,1600.44952,-500.0525748,42029.44799,3498.578313,3499.162912,3.002339874,6.043308872,2.037807014,542.5903905,57.79273403,36.86224056,6.118189254,11.63009389,6.203177108,11.69244984,6.196577618,11.91504689,7.175615729,27.3412775,19.32081043,87.22642953,4.655287889,0.54252531,19.33019965,1.079754512,999.8147703,-400.2001792,1600.059442,-450.6199483,1600.012842,-449.910497,1597.725177,-450.1301273,1400.943157,-450.0301417,1400.234743,-449.7908354,13.73207051,4.482452916,9.122856824,2.322062039,25.94250765,-499.1767491,23.95551635,-499.8487962,23.96683776,-500.0088125,23.95444321,-499.94471,14.03651025,-500.8573083,11.99955037,-501.1936856,9.97036552,-499.2016401,7.977324194,-500.2559079,14.00555097,-599.9961292
1/15/2016 4:00,6.148599351,10.14251115,4.939415642,42.77414096,66.92701582,10.36030243,0.792826235,16.52568607,2.055292276,117.9881692,11.91361295,7.25,1.00986923,9.089427635,9.986786146,19.19986351,33.0449325,16.48018519,3.112099688,6.550154496,2.277072761,1601.339707,-498.9754564,1601.437854,-500.3232464,1599.581894,-500.8881522,1602.649541,-500.5930102,42125.35424,3494.800771,3506.679315,3.169615112,6.060915456,1.786875215,540.5318928,56.04718919,34.34766576,5.663706683,10.95775458,6.198826097,10.96052105,6.194896819,12.41105351,7.240205027,27.04102285,19.21610087,86.68879414,4.552799644,0.515438248,19.26742188,1.012642242,999.6786902,-399.7527286,1600.208824,-449.5996139,1600.357732,-450.034364,1599.759049,-449.9097994,1401.560902,-448.8771866,1401.160227,-450.4071279,14.0799955,4.470736754,8.87102828,2.330448007,26.02478701,-500.2790913,23.95534469,-500.5936142,23.98570252,-500.0838107,23.95894522,-499.9903085,14.02729807,-499.8386321,11.9530704,-501.0538944,9.925708612,-501.6867265,7.894242287,-500.3560348,13.99664659,-601.4966906
1/15/2016 5:00,6.482968386,10.04941563,5.48025717,41.63367832,69.46581604,10.18270819,0.664117684,16.99963755,1.918585608,115.5812517,12.47077304,7.25,0.965760328,9.553724402,9.816215313,19.16732847,32.0706637,15.93153976,2.844511132,6.724196817,2.114558446,1602.964922,-498.0909441,1602.074298,-500.1794813,1602.154812,-498.6426139,1605.020106,-500.5381775,41973.28099,3501.916973,3499.527175,3.02613376,5.801920386,1.87935102,546.1734702,57.46957841,35.47008202,5.687167568,11.07251745,6.200382571,11.07500937,6.20236228,11.98558434,7.121903255,26.89804601,18.9503854,88.15691183,4.397414951,0.491350469,19.6402691,0.915835337,999.9341335,-400.599524,1601.080554,-450.1207598,1603.164805,-450.0977321,1603.368371,-446.3061495,1403.3931,-447.8999038,1402.903175,-448.8723207,13.61501238,4.286816744,9.302668803,2.192126895,26.01484052,-498.86467,23.88021406,-499.7384472,23.9826349,-500.4952716,24.00974885,-499.4338248,13.93849721,-500.9701678,11.88334966,-500.3952979,10.05414728,-496.3747154,7.965082559,-499.3647521,14.01706718,-599.7079154
1/15/2016 6:00,6.53384948,10.05814099,4.569099928,41.99531626,69.30083458,10.30459818,0.807342358,16.72357518,2.058912906,117.3223234,12.46908787,7.25,0.895207356,8.968869015,10.08130644,18.93085507,33.1848231,16.07836757,2.938979258,6.623598116,2.22315162,1597.532455,-500.9853643,1602.816321,-500.6967356,1603.572091,-500.2569554,1597.597437,-500.3781921,41956.46898,3497.427365,3506.35279,2.867932783,6.056252855,2.105501201,523.3764385,56.67464718,34.92056986,6.038435918,11.53589864,6.204974159,11.53922723,6.200515296,11.68430653,7.304849323,27.06367229,19.31959066,88.16806533,4.478080038,0.518265559,19.26249132,0.986247802,999.8323729,-399.3535212,1600.753019,-450.0500887,1599.019966,-449.848507,1600.298267,-453.1028914,1397.853265,-451.3066395,1397.97367,-451.3556261,13.59705621,4.487864505,9.103047013,2.316720135,25.95759356,-500.1344719,24.07719922,-500.0891901,23.99170993,-500.3915283,23.95414362,-501.8721711,14.04681949,-500.9711329,12.09154279,-500.5014258,10.00324703,-497.0831804,8.010889704,-500.002423,14.02964938,-600.9054697
1/15/2016 7:00,6.130822769,9.935481302,4.389812786,42.45272651,70.23097619,10.44328845,0.949346366,16.68995923,2.143437319,124.5929598,12.46740271,7.25,0.901201689,8.545237696,10.22454007,18.73581323,34.02771859,15.79771954,2.881528554,6.872033117,2.11202532,1597.946266,-501.5923039,1601.078254,-499.4941146,1602.630688,-500.1737414,1595.93799,-498.9298251,41812.41689,3497.275828,3501.00003,2.784697526,5.955053053,2.310431754,549.8427488,56.73032508,36.09138584,6.433853588,12.55790648,6.799275313,12.58310885,6.798354259,11.18262433,7.258496303,27.23111431,19.50789677,87.66833564,4.728325104,0.548066704,18.86186632,1.116109705,1000.166602,-400.5566008,1598.877246,-450.07098,1598.108717,-449.2113343,1592.872844,-449.8068021,1396.580752,-453.5483523,1397.289884,-450.2216961,13.17723708,4.432448454,9.36920948,2.192196885,25.93802617,-499.6577954,24.02017923,-499.7983961,24.03155545,-500.5504358,23.9681596,-499.8365128,13.97469069,-501.8196961,12.10132443,-500.5834458,9.873168521,-499.1719276,7.993380677,-499.7945181,13.98449805,-600.41107
1/15/2016 8:00,5.83413963,10.07115639,4.876389117,43.40407833,69.68859516,10.42013978,1.065453151,17.20194792,2.209880836,131.7810263,12.46571754,7.25,0.885535356,8.046685825,10.5000649,18.5602883,34.96497408,16.19541982,3.089922035,6.705633316,2.243816807,1601.670053,-499.5488906,1598.804355,-499.6896442,1601.689285,-500.4849573,1602.431117,-500.6509821,41905.75799,3498.332166,3498.120075,2.728843851,5.878083567,2.391713363,560.1152423,56.64989265,35.75387882,6.526612306,13.16612789,6.798659126,13.18476396,6.800021386,11.05132253,7.380043194,27.40429646,19.78946458,87.0358623,4.76430037,0.599181285,18.8730816,1.1867798,1000.026864,-399.9685825,1599.813104,-450.4811216,1600.024621,-450.3654935,1594.448648,-449.8824277,1402.033682,-448.5455519,1400.748347,-450.3039911,13.48786992,4.608755677,9.43704434,2.212083538,25.92951109,-500.0798893,23.97737474,-500.0051871,23.99880942,-500.4001333,23.98263323,-499.8263109,13.96402959,-504.2524504,12.06073843,-501.1745488,10.0338376,-501.1781326,7.881603928,-499.7294338,13.96713464,-599.0611879
1/15/2016 9:00,5.687062994,9.980403663,5.282514053,43.23521974,70.27961943,10.48701291,1.159805054,17.4839791,2.209593186,138.1204089,12.46403238,7.25,0.898779067,8.098984543,10.5253237,18.43658892,34.82649979,15.53521375,2.866688312,7.265906258,2.025454076,1603.436598,-499.8643997,1597.455353,-500.2669053,1600.747882,-500.5410016,1599.754053,-499.2169621,41882.12635,3499.915439,3519.952954,2.717441803,5.908793492,2.440899401,573.0760491,58.50926179,36.95854,6.633002069,13.70777469,6.820245333,13.81267382,6.790624267,11.11629726,7.297363342,27.49751958,19.49766857,87.65086771,4.66715667,0.61541812,18.90717882,1.167140198,1000.589156,-398.8795864,1598.97525,-451.238638,1600.058139,-451.2714484,1610.182874,-450.4601898,1399.194663,-450.332681,1399.63829,-450.1987224,13.20919132,4.550553481,9.813731771,2.073737155,26.05951026,-499.1516464,23.93457025,-499.3517581,23.9941835,-500.0785658,23.92448122,-499.9890236,13.98963179,-503.1952993,12.05223256,-500.9285475,9.962574123,-502.9863571,7.979219064,-500.1468346,13.98161378,-598.070855
